block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.122424,3502,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
14,cube0,0.420606,694,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.414546,3984,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.947273,3213,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
15,cube0,0.455758,752,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.086061,3442,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.261818,3732,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
16,cube0,0.438182,723,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.323030,3833,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.490303,4109,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
17,cube0,0.410909,678,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.608485,4304,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.218182,3660,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
18,cube0,0.460606,760,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.438182,4023,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
18,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.154546,3555,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
19,cube0,0.461212,761,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.635758,4349,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
19,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.269697,3745,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
20,cube0,0.352121,581,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.527273,2520,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
20,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.509697,2491,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
21,cube0,0.289697,478,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.467879,2422,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
21,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.459394,2408,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
22,cube0,0.347879,574,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.563636,2580,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
22,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.544242,2548,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
23,cube0,0.290909,480,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.646061,2716,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
23,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.638182,2703,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
24,cube0,0.366667,605,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.493333,2464,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
24,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.513939,2498,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
25,cube0,0.321818,531,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.575758,2600,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
25,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.609697,2656,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
26,cube0,0.313939,518,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.553333,2563,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
26,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.499394,2474,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
27,cube0,0.340000,561,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.557576,2570,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
27,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.666667,2750,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
28,cube0,0.315758,521,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.503030,2480,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
28,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.480000,2442,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
29,cube0,0.352727,582,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.564849,2582,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
29,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.398182,2307,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
30,cube0,0.330909,546,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.481818,2445,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
30,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.461212,2411,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
