block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
6,cube0,0.401818,663,0.000000,0.000000,0.001658,0.001658,3,0.000043,2,0.000034,1,0.000017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.125000,0.000000,0.000000,0.500000,0.003325,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.073333,3421,0.212168,0.212168,0.215483,0.213825,2,0.008459,2,0.003295,16.250000,16.125000,NA,NA,NA,NA,NA,NA,NA,NA,16.000000,0.096414,16.000000,0.113580,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.004242,3307,0.212168,0.212168,0.215483,0.213825,2,0.005087,2,0.003201,16.250000,16.125000,NA,NA,NA,NA,NA,NA,NA,NA,16.000000,0.096414,16.000000,0.113580,
7,cube0,0.445455,735,0.000000,0.000000,0.001658,0.001658,3,0.000043,2,0.000034,1,0.000017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.125000,0.000000,0.000000,0.500000,0.003325,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.083030,3437,0.212168,0.212168,0.215483,0.213825,2,0.006402,2,0.006223,16.250000,16.125000,NA,NA,NA,NA,NA,NA,NA,NA,16.000000,0.096414,16.000000,0.113580,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.806061,2980,0.212168,0.212168,0.215483,0.213825,2,0.006274,2,0.006641,16.250000,16.125000,NA,NA,NA,NA,NA,NA,NA,NA,16.000000,0.096414,16.000000,0.113580,
8,cube0,0.412121,680,0.000000,0.000000,0.001658,0.001658,3,0.000043,2,0.000034,1,0.000017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.125000,0.000000,0.000000,0.500000,0.003325,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.409091,3975,0.212168,0.212168,0.215483,0.213825,2,0.013205,2,0.009970,16.250000,16.125000,NA,NA,NA,NA,NA,NA,NA,NA,16.000000,0.096414,16.000000,0.113580,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.404243,3967,0.212168,0.212168,0.215483,0.213825,2,0.013265,2,0.003568,16.250000,16.125000,NA,NA,NA,NA,NA,NA,NA,NA,16.000000,0.096414,16.000000,0.113580,
9,cube0,0.455152,751,0.000000,0.000000,0.001658,0.001658,3,0.000043,2,0.000034,1,0.000017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.125000,0.000000,0.000000,0.500000,0.003325,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.097576,3461,0.212168,0.212168,0.215483,0.213825,2,0.010354,2,0.004567,16.250000,16.125000,NA,NA,NA,NA,NA,NA,NA,NA,16.000000,0.096414,16.000000,0.113580,
