block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
14,cube0,0.420606,694,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,2.414546,3984,0.002211,0.002185,0.000026,0.000000,0.000000,0.006197,0.000000,0.015519,
14,vector1,NA,NA,NA,NA,NA,NA,1.947273,3213,0.002211,0.002185,0.000026,0.000000,0.000000,0.006462,0.000000,0.017362,
15,cube0,0.455758,752,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,2.086061,3442,0.002211,0.002185,0.000026,0.000000,0.000000,0.006735,0.000000,0.014426,
15,vector1,NA,NA,NA,NA,NA,NA,2.261818,3732,0.002211,0.002185,0.000026,0.000000,0.000000,0.002458,0.000000,0.016270,
16,cube0,0.438182,723,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,2.323030,3833,0.002211,0.002185,0.000026,0.000000,0.000000,0.006445,0.000000,0.015664,
16,vector1,NA,NA,NA,NA,NA,NA,2.490303,4109,0.002211,0.002185,0.000026,0.000000,0.000000,0.006095,0.000000,0.015749,
17,cube0,0.410909,678,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,2.608485,4304,0.002211,0.002185,0.000026,0.000000,0.000000,0.005506,0.000000,0.013871,
17,vector1,NA,NA,NA,NA,NA,NA,2.218182,3660,0.002211,0.002185,0.000026,0.000000,0.000000,0.006769,0.000000,0.013555,
18,cube0,0.460606,760,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,2.438182,4023,0.002211,0.002185,0.000026,0.000000,0.000000,0.006206,0.000000,0.015655,
18,vector1,NA,NA,NA,NA,NA,NA,2.154546,3555,0.002211,0.002185,0.000026,0.000000,0.000000,0.004020,0.000000,0.019650,
19,cube0,0.461212,761,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,2.635758,4349,0.002211,0.002185,0.000026,0.000000,0.000000,0.005600,0.000000,0.015228,
19,vector1,NA,NA,NA,NA,NA,NA,2.269697,3745,0.002211,0.002185,0.000026,0.000000,0.000000,0.002458,0.000000,0.019070,
20,cube0,0.352121,581,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
20,vector0,NA,NA,NA,NA,NA,NA,1.527273,2520,0.002211,0.002185,0.000026,0.000000,0.000000,0.005881,0.000000,0.015920,
20,vector1,NA,NA,NA,NA,NA,NA,1.509697,2491,0.002211,0.002185,0.000026,0.000000,0.000000,0.006086,0.000000,0.016440,
21,cube0,0.289697,478,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
