block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
26,vector1,NA,NA,1.499394,2474,2.970346,2.333844,0.000000,0.000000,
27,cube0,0.340000,561,NA,NA,NA,NA,NA,NA,
27,vector0,NA,NA,1.557576,2570,2.970346,2.333844,0.000000,0.000000,
27,vector1,NA,NA,1.666667,2750,2.970346,2.333844,0.000000,0.000000,
28,cube0,0.315758,521,NA,NA,NA,NA,NA,NA,
28,vector0,NA,NA,1.503030,2480,2.970346,2.333844,0.000000,0.000000,
28,vector1,NA,NA,1.480000,2442,2.970346,2.333844,0.000000,0.000000,
29,cube0,0.352727,582,NA,NA,NA,NA,NA,NA,
29,vector0,NA,NA,1.564849,2582,2.970346,2.333844,0.000000,0.000000,
29,vector1,NA,NA,1.398182,2307,2.970346,2.333844,0.000000,0.000000,
30,cube0,0.330909,546,NA,NA,NA,NA,NA,NA,
30,vector0,NA,NA,1.481818,2445,2.970346,2.333844,0.000000,0.000000,
30,vector1,NA,NA,1.461212,2411,2.970346,2.333844,0.000000,0.000000,
31,cube0,0.373939,617,NA,NA,NA,NA,NA,NA,
31,vector0,NA,NA,1.653939,2729,2.970346,2.333844,0.000000,0.000000,
31,vector1,NA,NA,1.585455,2616,2.970346,2.333844,0.000000,0.000000,
32,cube0,0.304848,503,NA,NA,NA,NA,NA,NA,
32,vector0,NA,NA,1.490909,2460,2.970346,2.333844,0.000000,0.000000,
32,vector1,NA,NA,1.497576,2471,2.970346,2.333844,0.000000,0.000000,
33,cube0,0.314545,519,NA,NA,NA,NA,NA,NA,
33,vector0,NA,NA,1.572727,2595,2.970346,2.333844,0.000000,0.000000,
33,vector1,NA,NA,1.581212,2609,2.970346,2.333844,0.000000,0.000000,
34,cube0,0.317576,524,NA,NA,NA,NA,NA,NA,
34,vector0,NA,NA,1.435758,2369,2.970346,2.333844,0.000000,0.000000,
34,vector1,NA,NA,1.385455,2286,2.970346,2.333844,0.000000,0.000000,
35,cube0,0.348485,575,NA,NA,NA,NA,NA,NA,
35,vector0,NA,NA,1.528485,2522,2.970346,2.333844,0.000000,0.000000,
35,vector1,NA,NA,1.549091,2556,2.970346,2.333844,0.000000,0.000000,
36,cube0,0.341212,563,NA,NA,NA,NA,NA,NA,
36,vector0,NA,NA,1.630909,2691,2.970346,2.333844,0.000000,0.000000,
36,vector1,NA,NA,1.501818,2478,2.970346,2.333844,0.000000,0.000000,
37,cube0,0.309697,511,NA,NA,NA,NA,NA,NA,
37,vector0,NA,NA,1.660000,2739,2.970346,2.333844,0.000000,0.000000,
37,vector1,NA,NA,1.544848,2549,2.970346,2.333844,0.000000,0.000000,
38,cube0,0.363030,599,NA,NA,NA,NA,NA,NA,
38,vector0,NA,NA,1.492727,2463,2.970346,2.333844,0.000000,0.000000,
38,vector1,NA,NA,1.877576,3098,2.970346,2.333844,0.000000,0.000000,
39,cube0,0.347879,574,NA,NA,NA,NA,NA,NA,
39,vector0,NA,NA,1.580000,2607,2.970346,2.333844,0.000000,0.000000,
39,vector1,NA,NA,1.486061,2452,2.970346,2.333844,0.000000,0.000000,
40,cube0,0.349697,577,NA,NA,NA,NA,NA,NA,
40,vector0,NA,NA,1.599394,2639,2.970346,2.333844,0.000000,0.000000,
40,vector1,NA,NA,1.420606,2344,2.970346,2.333844,0.000000,0.000000,
41,cube0,0.290303,479,NA,NA,NA,NA,NA,NA,
41,vector0,NA,NA,1.784848,2945,2.970346,2.333844,0.000000,0.000000,
41,vector1,NA,NA,1.514545,2499,2.970346,2.333844,0.000000,0.000000,
42,cube0,0.346061,571,NA,NA,NA,NA,NA,NA,
42,vector0,NA,NA,1.561818,2577,2.970346,2.333844,0.000000,0.000000,
42,vector1,NA,NA,1.535758,2534,2.970346,2.333844,0.000000,0.000000,
43,cube0,0.294545,486,NA,NA,NA,NA,NA,NA,
43,vector0,NA,NA,1.641818,2709,2.970346,2.333844,0.000000,0.000000,
43,vector1,NA,NA,1.623636,2679,2.970346,2.333844,0.000000,0.000000,
44,cube0,0.367273,606,NA,NA,NA,NA,NA,NA,
44,vector0,NA,NA,1.406061,2320,2.970346,2.333844,0.000000,0.000000,
44,vector1,NA,NA,1.380606,2278,2.970346,2.333844,0.000000,0.000000,
45,cube0,0.322424,532,NA,NA,NA,NA,NA,NA,
45,vector0,NA,NA,1.681212,2774,2.970346,2.333844,0.000000,0.000000,
45,vector1,NA,NA,1.443030,2381,2.970346,2.333844,0.000000,0.000000,
46,cube0,0.312121,515,NA,NA,NA,NA,NA,NA,
46,vector0,NA,NA,1.530303,2525,2.970346,2.333844,0.000000,0.000000,
46,vector1,NA,NA,2.005455,3309,2.970346,2.333844,0.000000,0.000000,
47,cube0,0.343636,567,NA,NA,NA,NA,NA,NA,
47,vector0,NA,NA,1.639394,2705,2.970346,2.333844,0.000000,0.000000,
47,vector1,NA,NA,1.544848,2549,2.970346,2.333844,0.000000,0.000000,
48,cube0,0.316364,522,NA,NA,NA,NA,NA,NA,
48,vector0,NA,NA,1.530909,2526,2.970346,2.333844,0.000000,0.000000,
48,vector1,NA,NA,1.868485,3083,2.970346,2.333844,0.000000,0.000000,
49,cube0,0.352727,582,NA,NA,NA,NA,NA,NA,
49,vector0,NA,NA,1.596364,2634,2.970346,2.333844,0.000000,0.000000,
49,vector1,NA,NA,1.547879,2554,2.970346,2.333844,0.000000,0.000000,
50,cube0,0.329091,543,NA,NA,NA,NA,NA,NA,
50,vector0,NA,NA,1.653939,2729,2.970346,2.333844,0.000000,0.000000,
50,vector1,NA,NA,1.982424,3271,2.970346,2.333844,0.000000,0.000000,
51,cube0,0.371515,613,NA,NA,NA,NA,NA,NA,
51,vector0,NA,NA,1.690909,2790,2.970346,2.333844,0.000000,0.000000,
51,vector1,NA,NA,1.587879,2620,2.970346,2.333844,0.000000,0.000000,
52,cube0,0.305455,504,NA,NA,NA,NA,NA,NA,
52,vector0,NA,NA,1.558788,2572,2.970346,2.333844,0.000000,0.000000,
52,vector1,NA,NA,1.395151,2302,2.970346,2.333844,0.000000,0.000000,
53,cube0,0.310303,512,NA,NA,NA,NA,NA,NA,
