block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.164848,46472,23.551516,0.122664,17.342424,0.090325,37.833691,11.285455,0.058778,58.139256,0.000000,1.533333,0.007986,0.421212,0.699394,22.207878,22.685455,0.000000,14.549091,0.644242,0.000000,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.501213,47027,23.551516,0.122664,18.001818,0.093759,36.447868,11.049091,0.057547,59.382977,0.000000,1.606061,0.008365,0.421212,0.699394,22.241213,22.949091,0.000000,14.576364,0.696970,0.000000,
5,cube0,0.409697,676,0.000000,0.000000,0.003030,0.000016,0.002424,0.000013,0.001212,0.000006,393.390656,0.000606,0.000003,0.000000,0.000000,0.363636,0.001894,0.017576,0.025455,0.000000,0.000000,0.000000,0.000000,0.124242,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.741817,45774,23.551516,0.122664,17.250303,0.089845,38.035736,10.643030,0.055432,61.648602,0.000000,1.623636,0.008456,0.421212,0.699394,21.861818,22.572727,0.000000,14.452121,0.715758,0.000000,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.013334,46222,23.551516,0.122664,17.343636,0.090331,37.831051,10.948484,0.057023,59.928658,0.000000,1.750303,0.009116,0.421212,0.699394,21.707878,22.494545,0.000000,14.209091,0.784849,0.000000,
6,cube0,0.442424,730,0.000000,0.000000,0.003030,0.000016,0.002424,0.000013,0.001212,0.000006,393.390656,0.000606,0.000003,0.000000,0.000000,0.394545,0.002055,0.017576,0.025455,0.000000,0.000000,0.000000,0.000000,0.127273,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.433332,46915,23.551516,0.122664,17.521212,0.091256,37.447632,11.110303,0.057866,59.055809,0.000000,1.758788,0.009160,0.421212,0.699394,21.798182,22.378181,0.000000,13.824848,0.549091,0.000000,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.076365,46326,23.551516,0.122664,17.009090,0.088589,38.575134,10.983636,0.057206,59.736858,0.000000,1.886667,0.009826,0.421212,0.699394,21.857576,22.581213,0.000000,14.246667,0.654545,0.000000,
7,cube0,0.416970,688,0.000000,0.000000,0.003030,0.000016,0.002424,0.000013,0.001212,0.000006,393.390656,0.000606,0.000003,0.000000,0.000000,0.366667,0.001910,0.017576,0.025455,0.000000,0.000000,0.000000,0.000000,0.106667,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.186666,46508,23.551516,0.122664,17.153940,0.089343,38.249401,11.072727,0.057670,59.256218,0.000000,1.695758,0.008832,0.421212,0.699394,22.194546,22.780605,0.000000,14.455757,0.549091,0.000000,
