block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
26,vector1,NA,NA,30.201818,49833,44.231815,30.622026,0.000000,0.000000,
27,cube0,0.311515,514,NA,NA,NA,NA,NA,NA,
27,vector0,NA,NA,30.156969,49759,44.231815,30.622026,0.000000,0.000000,
27,vector1,NA,NA,29.771515,49123,44.231815,30.622026,0.000000,0.000000,
28,cube0,0.373939,617,NA,NA,NA,NA,NA,NA,
28,vector0,NA,NA,30.547878,50404,44.231815,30.622026,0.000000,0.000000,
28,vector1,NA,NA,30.390303,50144,44.231815,30.622026,0.000000,0.000000,
29,cube0,0.326061,538,NA,NA,NA,NA,NA,NA,
29,vector0,NA,NA,30.808485,50834,44.231815,30.622026,0.000000,0.000000,
29,vector1,NA,NA,30.478182,50289,44.231815,30.622026,0.000000,0.000000,
30,cube0,0.332727,549,NA,NA,NA,NA,NA,NA,
30,vector0,NA,NA,30.101818,49668,44.231815,30.622026,0.000000,0.000000,
30,vector1,NA,NA,30.097576,49661,44.231815,30.622026,0.000000,0.000000,
31,cube0,0.303030,500,NA,NA,NA,NA,NA,NA,
31,vector0,NA,NA,30.020607,49534,44.231815,30.622026,0.000000,0.000000,
31,vector1,NA,NA,29.962423,49438,44.231815,30.622026,0.000000,0.000000,
32,cube0,0.343030,566,NA,NA,NA,NA,NA,NA,
32,vector0,NA,NA,30.188484,49811,44.231815,30.622026,0.000000,0.000000,
32,vector1,NA,NA,31.554546,52065,44.231815,30.622026,0.000000,0.000000,
33,cube0,0.361212,596,NA,NA,NA,NA,NA,NA,
33,vector0,NA,NA,30.490910,50310,44.231815,30.622026,0.000000,0.000000,
33,vector1,NA,NA,30.573334,50446,44.231815,30.622026,0.000000,0.000000,
34,cube0,0.344848,569,NA,NA,NA,NA,NA,NA,
34,vector0,NA,NA,30.966667,51095,44.231815,30.622026,0.000000,0.000000,
34,vector1,NA,NA,30.512121,50345,44.231815,30.622026,0.000000,0.000000,
35,cube0,0.344242,568,NA,NA,NA,NA,NA,NA,
35,vector0,NA,NA,30.728485,50702,44.231815,30.622026,0.000000,0.000000,
35,vector1,NA,NA,31.536970,52036,44.231815,30.622026,0.000000,0.000000,
36,cube0,0.331515,547,NA,NA,NA,NA,NA,NA,
36,vector0,NA,NA,30.161213,49766,44.231815,30.622026,0.000000,0.000000,
36,vector1,NA,NA,30.445454,50235,44.231815,30.622026,0.000000,0.000000,
37,cube0,0.374545,618,NA,NA,NA,NA,NA,NA,
37,vector0,NA,NA,30.941818,51054,44.231815,30.622026,0.000000,0.000000,
37,vector1,NA,NA,30.931515,51037,44.231815,30.622026,0.000000,0.000000,
