block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.341211,46763,0.122664,0.108264,0.121796,0.000000,0.000000,0.000865,2647552,
14,cube0,0.439394,725,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.293333,46684,0.122664,0.108264,0.121796,0.000000,0.000000,0.000865,2647552,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.453333,46948,0.122664,0.108264,0.121796,0.000000,0.000000,0.000865,2647552,
15,cube0,0.443030,731,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.054546,47940,0.122664,0.108264,0.121796,0.000000,0.000000,0.000865,2647552,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.968485,47798,0.122664,0.108264,0.121796,0.000000,0.000000,0.000865,2647552,
16,cube0,0.433333,715,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.823637,47559,0.122664,0.108264,0.121796,0.000000,0.000000,0.000865,2647552,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.683031,47327,0.122664,0.108264,0.121796,0.000000,0.000000,0.000865,2647552,
17,cube0,0.478788,790,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.833939,47576,0.122664,0.108264,0.121796,0.000000,0.000000,0.000865,2647552,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.906666,47696,0.122664,0.108264,0.121796,0.000000,0.000000,0.000865,2647552,
