block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.502424,43729,0.268428,0.194065,0.242573,0.000000,0.000000,0.025843,1670016,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.084242,44689,0.268428,0.194065,0.242573,0.000000,0.000000,0.025843,1670016,
6,cube0,0.489091,807,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.523031,43763,0.268428,0.194065,0.242573,0.000000,0.000000,0.025843,1670016,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.957575,42830,0.268428,0.194065,0.242573,0.000000,0.000000,0.025843,1670016,
7,cube0,0.429697,709,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.229092,43278,0.268428,0.194065,0.242573,0.000000,0.000000,0.025843,1670016,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.149696,43147,0.268428,0.194065,0.242573,0.000000,0.000000,0.025843,1670016,
8,cube0,0.502424,829,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.004242,42907,0.269354,0.193882,0.242356,0.000000,0.000000,0.026987,1672192,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.212727,43251,0.269354,0.193882,0.242356,0.000000,0.000000,0.026987,1672192,
9,cube0,0.514545,849,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.160000,43164,0.269354,0.193882,0.242356,0.000000,0.000000,0.026987,1672192,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.360001,43494,0.269354,0.193882,0.242356,0.000000,0.000000,0.026987,1672192,
10,cube0,0.457576,755,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.062424,43003,0.269354,0.193882,0.242356,0.000000,0.000000,0.026987,1672192,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.433939,41966,0.269354,0.193882,0.242356,0.000000,0.000000,0.026987,1672192,
11,cube0,0.489697,808,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.822424,42607,0.269354,0.193882,0.242356,0.000000,0.000000,0.026987,1672192,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.829697,42619,0.269354,0.193882,0.242356,0.000000,0.000000,0.026987,1672192,
12,cube0,0.449697,742,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.112122,43085,0.269354,0.193882,0.242356,0.000000,0.000000,0.026987,1672192,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.583031,42212,0.269354,0.193882,0.242356,0.000000,0.000000,0.026987,1672192,
13,cube0,0.487273,804,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.895151,42727,0.269354,0.193882,0.242356,0.000000,0.000000,0.026987,1672192,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.960606,42835,0.269354,0.193882,0.242356,0.000000,0.000000,0.026987,1672192,
