block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.389091,43542,14.226666,0.268428,11.061818,0.208714,30.347033,9.139394,0.172441,36.730373,0.000000,1.310303,0.024723,0.188485,0.529091,0.000000,0.000000,0.000000,18.671515,0.127879,0.000000,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.817575,44249,14.226666,0.268428,11.446667,0.215975,29.326735,6.096364,0.115026,55.064526,0.000000,1.366667,0.025786,0.188485,0.529091,0.000000,0.000000,0.000000,19.355152,0.143636,0.000000,
5,cube0,0.457576,755,0.000000,0.000000,0.003030,0.000057,0.002424,0.000046,0.001212,0.000023,393.390656,0.000606,0.000011,0.000000,0.000000,0.406061,0.007662,0.044242,0.067273,0.000000,0.000000,0.000000,0.000000,0.101212,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.502424,43729,14.226666,0.268428,10.536364,0.198799,31.860460,5.367273,0.101269,62.544495,0.000000,1.354545,0.025557,0.188485,0.529091,0.000000,0.000000,0.000000,18.782425,0.123030,0.000000,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.084242,44689,14.226666,0.268428,10.744243,0.202722,31.244024,10.083636,0.190257,33.290905,0.000000,1.506667,0.028428,0.188485,0.529091,0.000000,0.000000,0.000000,19.632727,0.140606,0.000000,
6,cube0,0.489091,807,0.000000,0.000000,0.003030,0.000057,0.002424,0.000046,0.001212,0.000023,393.390656,0.000606,0.000011,0.000000,0.000000,0.435152,0.008210,0.044242,0.067273,0.000000,0.000000,0.000000,0.000000,0.106667,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.523031,43763,14.226666,0.268428,10.186666,0.192201,32.954189,5.392121,0.101738,62.256271,0.000000,1.463636,0.027616,0.188485,0.529091,0.000000,0.000000,0.000000,18.412727,0.104242,0.000000,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.957575,42830,14.226666,0.268428,10.629091,0.200549,31.582508,5.204848,0.098205,64.496277,0.000000,1.341818,0.025317,0.188485,0.529091,0.000000,0.000000,0.000000,18.124243,0.123030,0.000000,
7,cube0,0.429697,709,0.000000,0.000000,0.003030,0.000057,0.002424,0.000046,0.001212,0.000023,393.390656,0.000606,0.000011,0.000000,0.000000,0.373939,0.007055,0.044242,0.067273,0.000000,0.000000,0.000000,0.000000,0.112727,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.229092,43278,14.226666,0.268428,10.828485,0.204311,31.000957,10.264242,0.193665,32.705128,0.000000,1.429091,0.026964,0.188485,0.529091,0.000000,0.000000,0.000000,18.636971,0.118182,0.000000,
