block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
14,cube0,0.437576,722,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,27.020000,44583,0.065157,0.064403,0.000755,0.000000,0.000000,0.222379,0.478571,0.478674,
14,vector1,NA,NA,NA,NA,NA,NA,26.596970,43885,0.065157,0.064403,0.000755,0.000000,0.000000,0.213482,0.469674,0.471870,
15,cube0,0.503030,830,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,26.747879,44134,0.065157,0.064403,0.000755,0.000000,0.000000,0.214694,0.470886,0.485992,
15,vector1,NA,NA,NA,NA,NA,NA,26.879395,44351,0.065157,0.064403,0.000755,0.000000,0.000000,0.212499,0.468691,0.474008,
16,cube0,0.478182,789,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,26.876970,44347,0.065157,0.064403,0.000755,0.000000,0.000000,0.215037,0.471229,0.455071,
16,vector1,NA,NA,NA,NA,NA,NA,25.788485,42551,0.065157,0.064403,0.000755,0.000000,0.000000,0.197038,0.453230,0.467273,
17,cube0,0.459394,758,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,26.401817,43563,0.065157,0.064403,0.000755,0.000000,0.000000,0.207318,0.463511,0.455998,
17,vector1,NA,NA,NA,NA,NA,NA,26.050909,42984,0.065157,0.064403,0.000755,0.000000,0.000000,0.197759,0.453951,0.463396,
18,cube0,0.450303,743,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,26.542425,43795,0.065157,0.064403,0.000755,0.000000,0.000000,0.208874,0.465066,0.469914,
18,vector1,NA,NA,NA,NA,NA,NA,26.576969,43852,0.065157,0.064403,0.000755,0.000000,0.000000,0.209274,0.465466,0.474408,
19,cube0,0.495152,817,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,26.858788,44317,0.065157,0.064403,0.000755,0.000000,0.000000,0.213368,0.469560,0.472167,
19,vector1,NA,NA,NA,NA,NA,NA,26.849091,44301,0.065157,0.064403,0.000755,0.000000,0.000000,0.213345,0.469537,0.478342,
20,cube0,0.395758,653,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
20,vector0,NA,NA,NA,NA,NA,NA,24.115757,39791,0.065157,0.064403,0.000755,0.000000,0.000000,0.179668,0.435860,0.452544,
20,vector1,NA,NA,NA,NA,NA,NA,24.845455,40995,0.065157,0.064403,0.000755,0.000000,0.000000,0.193276,0.449468,0.459520,
21,cube0,0.334545,552,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
21,vector0,NA,NA,NA,NA,NA,NA,24.001818,39603,0.065157,0.064403,0.000755,0.000000,0.000000,0.177130,0.433322,0.452281,
21,vector1,NA,NA,NA,NA,NA,NA,24.676970,40717,0.065157,0.064403,0.000755,0.000000,0.000000,0.189777,0.445969,0.460892,
22,cube0,0.354545,585,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
22,vector0,NA,NA,NA,NA,NA,NA,24.334545,40152,0.065157,0.064403,0.000755,0.000000,0.000000,0.183270,0.439463,0.448702,
22,vector1,NA,NA,NA,NA,NA,NA,23.904242,39442,0.065157,0.064403,0.000755,0.000000,0.000000,0.175243,0.431435,0.444311,
23,cube0,0.355152,586,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
23,vector0,NA,NA,NA,NA,NA,NA,24.569092,40539,0.065157,0.064403,0.000755,0.000000,0.000000,0.187216,0.443408,0.451229,
23,vector1,NA,NA,NA,NA,NA,NA,24.079393,39731,0.065157,0.064403,0.000755,0.000000,0.000000,0.177782,0.433974,0.444643,
