block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.112122,43085,184,1161,1217,127,1216,130,13.680298,90.446098,64.857498,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.583031,42212,822,523,0,1343,1,1346,61.115242,0.037175,20.396530,
13,cube0,0.487273,804,1,0,0,0,0,1,100.000000,0.000000,50.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.895151,42727,1162,183,128,1219,129,1214,86.394051,9.553904,35.167286,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.960606,42835,524,821,1354,0,1335,1,38.959106,99.962822,79.628250,
14,cube0,0.437576,722,1,0,0,0,0,1,100.000000,0.000000,50.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.020000,44583,1345,0,1271,65,1290,64,100.000000,95.204460,96.802971,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.596970,43885,1,1344,102,1242,103,1243,0.074349,7.620818,5.105329,
15,cube0,0.503030,830,1,0,0,0,0,1,100.000000,0.000000,50.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.747879,44134,1,1344,65,1281,64,1280,0.074349,4.795539,3.221809,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.879395,44351,1345,0,1248,102,1237,103,100.000000,92.379181,94.919456,
16,cube0,0.478182,789,1,0,0,0,0,1,100.000000,0.000000,50.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.876970,44347,508,837,1312,28,1325,25,37.769516,98.029739,77.943001,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.788485,42551,203,1142,1,1346,0,1343,15.092937,0.037175,5.055762,
17,cube0,0.459394,758,1,0,0,0,0,1,100.000000,0.000000,50.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.401817,43563,838,507,26,1317,27,1320,62.304832,1.970260,22.081785,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.050909,42984,1143,202,1333,1,1356,0,84.981415,99.962822,94.969025,
18,cube0,0.450303,743,1,0,0,0,0,1,100.000000,0.000000,50.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.542425,43795,1345,0,1355,1,1334,0,100.000000,99.962822,99.975220,
18,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.576969,43852,1,1344,17,1328,16,1329,0.074349,1.226766,0.842627,
